Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
RPS6KA6,Q9UK32,AGC-CAMK,RSK,NA,0.09933180497419501,0.06479219441400422,0.2564902352715702,-1.139253930057932,-1.0791125616955983,0.1838646365869909,NA,14
PRKACG,P22612,AGC,PKA,NA,0.05838575329615673,0.060480747381381476,0.06550154875643228,-0.9420846076041723,-0.9420846076041723,0,NA,3
PRKAB1,Q9Y478,NA,NA,NA,0.057312164758097923,0.05848856736559697,0.06348625752110672,-0.982186100292068,-0.982186100292068,0,NA,4
TBK1,Q9UHD2,OTHER,IKK,NA,0.05789156184563114,0.05256627811294924,0.06854212931099495,-0.9014964893495598,-0.9014964893495598,0,NA,3
CILK1,Q9UPZ9,CMGC,RCK,NA,0.047700620257463515,0.04963514562387693,0.04963514562387693,-0.8669331409163293,-0.8669331409163293,0,NA,3
CDK9,P50750,CMGC,CDK,NA,0.0657360756827467,0.04479346245805826,0.12033079436794646,-1.0217714065736845,-1.0567275870662938,0.05243427073891405,NA,7
NUAK1,O60285,CAMK,CAMKL,NA,0.04811637589443786,0.04479346245805826,0.07572071393811836,-0.9085771096251016,-0.9213248478516621,0.028504809233961842,NA,4
MAPK11,Q15759,CMGC,MAPK,NA,0.09464891744810748,0.040958607678906384,0.20342566678957033,-0.9388331234794871,-0.9963346492460387,0.16237033129518874,NA,4
ROCK1,Q13464,AGC,DMPK,NA,0.044903347249355366,0.040958607678906384,0.07468790850035051,-0.8710839568445946,-0.9153601254300435,0.08769195832398044,NA,4
CDK1,P06493,CMGC,CDK,NA,0.03888122864633589,0.0381045263321496,0.10679324694015198,-1.094957495209043,-1.076251898552754,0.046306125649569284,NA,14
CDK5,Q00535,CMGC,CDK,NA,0.033451331442188724,0.03432802877989328,0.04866248120408232,-1.0498147483589189,-1.0498147483589189,0,NA,10
COQ8A,Q8NI60,Atypical,ABC1,NA,0.03722049620616555,0.029653123769906618,0.06550154875643228,-0.9989102576479693,-0.9903583775796989,0.04152746891238002,NA,7
