BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	Median_SigmBg	Protocol file name	Image Analysis_STKDate	Thu, 02 Sep 2021 12:24:39 GMT
#REF		85.0	178.0	426.0	853.0	1693.0	94.0	192.0	454.0	937.0	1882.0	101.0	199.0	493.0	993.0	1951.0	102.0	203.0	501.0	985.0	1946.0	108.0	199.0	541.0	1070.0	2129.0	107.0	212.0	528.0	1029.0	2056.0	112.0	224.0	559.0	1105.0	2164.0	114.0	223.0	562.0	1113.0	2204.0	98.0	200.0	500.0	981.0	1956.0	98.0	195.0	476.0	951.0	1894.0	94.0	187.0	456.0	918.0	1828.0	96.0	197.0	493.0	979.0	1974.0
#REF		86.0	175.0	428.0	843.0	1695.0	91.0	188.0	468.0	928.0	1852.0	99.0	197.0	494.0	975.0	1945.0	95.0	190.0	477.0	944.0	1855.0	111.0	216.0	536.0	1066.0	2099.0	101.0	206.0	506.0	1004.0	1994.0	110.0	213.0	529.0	1074.0	2088.0	107.0	219.0	550.0	1097.0	2177.0	98.0	198.0	492.0	979.0	1928.0	94.0	187.0	463.0	914.0	1843.0	91.0	175.0	437.0	870.0	1744.0	95.0	195.0	486.0	956.0	1915.0
#REF		92.0	189.0	453.0	914.0	1833.0	97.0	190.0	478.0	953.0	1934.0	102.0	200.0	499.0	982.0	1930.0	101.0	209.0	507.0	1026.0	1986.0	109.0	225.0	538.0	1108.0	2213.0	111.0	215.0	532.0	1061.0	2090.0	117.0	219.0	551.0	1092.0	2180.0	110.0	223.0	554.0	1105.0	2181.0	101.0	196.0	485.0	995.0	1955.0	102.0	200.0	510.0	1020.0	2001.0	99.0	196.0	491.0	982.0	1969.0	100.0	202.0	499.0	992.0	1967.0
#REF		95.0	179.0	459.0	897.0	1817.0	97.0	192.0	467.0	934.0	1852.0	98.0	204.0	520.0	1026.0	2026.0	104.0	199.0	493.0	1003.0	1943.0	110.0	212.0	535.0	1040.0	2068.0	103.0	207.0	506.0	1004.0	2004.0	116.0	217.0	539.0	1069.0	2140.0	109.0	221.0	553.0	1100.0	2179.0	98.0	199.0	489.0	980.0	1940.0	98.0	204.0	497.0	1000.0	1960.0	106.0	204.0	512.0	1014.0	1986.0	101.0	202.0	502.0	1007.0	1992.0
pTY3H_64_78		83.0	163.0	401.0	812.0	1638.0	93.0	179.0	457.0	918.0	1811.0	35.0	76.0	195.0	392.0	777.0	37.0	73.0	188.0	372.0	733.0	174.0	336.0	835.0	1670.0	3216.0	174.0	349.0	864.0	1719.0	3363.0	174.0	340.0	852.0	1687.0	3311.0	152.0	298.0	741.0	1484.0	2931.0	176.0	356.0	859.0	1729.0	3371.0	153.0	291.0	744.0	1460.0	2864.0	144.0	283.0	706.0	1403.0	2731.0	123.0	245.0	615.0	1214.0	2403.0
ATF2_47_59		0.0	1.0	-1.0	-2.0	-7.0	-1.0	-1.0	-4.0	-1.0	-4.0	-1.0	-2.0	0.0	1.0	-1.0	0.0	0.0	1.0	2.0	3.0	0.0	-2.0	-3.0	-8.0	-12.0	-1.0	-2.0	-1.0	-3.0	-6.0	0.0	-1.0	-2.0	-2.0	-1.0	-1.0	0.0	0.0	0.0	-4.0	0.0	-2.0	-4.0	-9.0	-14.0	0.0	0.0	-2.0	-2.0	-2.0	1.0	0.0	-1.0	-4.0	-9.0	2.0	0.0	-1.0	-1.0	-4.0
CDN1A_139_151		54.0	109.0	275.0	552.0	1090.0	50.0	106.0	266.0	526.0	1045.0	26.0	52.0	124.0	255.0	505.0	20.0	38.0	95.0	194.0	385.0	123.0	231.0	594.0	1173.0	2293.0	134.0	271.0	660.0	1290.0	2561.0	128.0	249.0	621.0	1216.0	2420.0	98.0	198.0	487.0	978.0	1915.0	137.0	266.0	649.0	1286.0	2558.0	96.0	196.0	483.0	966.0	1913.0	91.0	180.0	451.0	899.0	1766.0	73.0	147.0	365.0	734.0	1459.0
FIBA_569_581		1.0	1.0	0.0	2.0	12.0	0.0	1.0	0.0	4.0	5.0	0.0	1.0	3.0	4.0	6.0	0.0	0.0	2.0	5.0	5.0	1.0	-1.0	0.0	5.0	11.0	-1.0	1.0	0.0	5.0	9.0	2.0	1.0	4.0	5.0	13.0	2.0	1.0	2.0	4.0	14.0	0.0	2.0	3.0	2.0	16.0	-1.0	0.0	2.0	5.0	9.0	2.0	1.0	2.0	7.0	12.0	0.0	1.0	1.0	3.0	10.0
IKKB_173_185_C179A		0.0	0.0	1.0	2.0	1.0	-1.0	1.0	0.0	2.0	3.0	-1.0	-2.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	-1.0	-1.0	0.0	-1.0	0.0	-2.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	-3.0	0.0	1.0	0.0	-1.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0
LIPS_944_956		8.0	17.0	45.0	82.0	163.0	6.0	10.0	24.0	48.0	92.0	4.0	11.0	23.0	50.0	100.0	2.0	4.0	13.0	28.0	52.0	26.0	52.0	134.0	263.0	530.0	26.0	53.0	131.0	260.0	537.0	24.0	46.0	121.0	238.0	466.0	20.0	38.0	99.0	200.0	393.0	27.0	49.0	124.0	242.0	491.0	15.0	27.0	65.0	135.0	265.0	15.0	28.0	66.0	136.0	272.0	6.0	17.0	44.0	90.0	174.0
MYBB_513_525		0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	-1.0	0.0	3.0	0.0	1.0	2.0	0.0	3.0	1.0	1.0	0.0	-2.0	-1.0	-1.0	1.0	1.0	-1.0	-3.0	1.0	-2.0	-1.0	-1.0	0.0	2.0	0.0	1.0	-1.0	1.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	1.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	-2.0	0.0	1.0	-1.0
PLEK_106_118		4.0	13.0	28.0	60.0	119.0	3.0	5.0	17.0	33.0	67.0	3.0	7.0	16.0	33.0	66.0	3.0	5.0	10.0	20.0	42.0	10.0	19.0	53.0	103.0	221.0	8.0	18.0	48.0	101.0	195.0	10.0	18.0	51.0	100.0	202.0	10.0	20.0	48.0	98.0	194.0	10.0	19.0	52.0	106.0	209.0	6.0	12.0	35.0	71.0	142.0	6.0	13.0	32.0	63.0	127.0	6.0	13.0	32.0	65.0	128.0
RBL2_632_644		0.0	1.0	0.0	2.0	5.0	2.0	0.0	2.0	2.0	3.0	0.0	-1.0	2.0	3.0	4.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0	3.0	2.0	0.0	-1.0	1.0	-1.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	-1.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	6.0	0.0	1.0	0.0	1.0	2.0	0.0	-1.0	2.0	2.0	3.0
VIGLN_289_301		1.0	1.0	-1.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	-2.0	2.0	3.0	2.0	0.0	1.0	2.0	4.0	-2.0	-1.0	-5.0	-7.0	-16.0	-2.0	0.0	0.0	-1.0	4.0	-1.0	-1.0	-2.0	-1.0	-1.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	-1.0	0.0	3.0	2.0	3.0	5.0	7.0	11.0	-2.0	-2.0	-1.0	1.0	-4.0	0.0	0.0	1.0	0.0	3.0
GRIK2_708_720		38.0	74.0	188.0	369.0	746.0	26.0	53.0	131.0	263.0	523.0	18.0	33.0	94.0	186.0	375.0	10.0	20.0	53.0	101.0	205.0	115.0	224.0	574.0	1132.0	2217.0	113.0	228.0	549.0	1103.0	2157.0	106.0	212.0	526.0	1045.0	2061.0	97.0	194.0	480.0	944.0	1866.0	110.0	218.0	538.0	1056.0	2086.0	66.0	136.0	349.0	707.0	1383.0	72.0	141.0	349.0	701.0	1386.0	50.0	97.0	244.0	490.0	957.0
RADI_559_569		0.0	0.0	-2.0	1.0	1.0	0.0	0.0	1.0	2.0	5.0	-1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	5.0	0.0	-3.0	0.0	-6.0	-3.0	0.0	-1.0	0.0	3.0	7.0	1.0	1.0	2.0	3.0	4.0	0.0	-1.0	0.0	4.0	5.0	0.0	-2.0	-1.0	0.0	2.0	0.0	-2.0	0.0	2.0	4.0	1.0	0.0	0.0	3.0	5.0	0.0	-1.0	2.0	2.0	2.0
ACM1_421_433		0.0	-1.0	-1.0	2.0	6.0	0.0	1.0	0.0	2.0	8.0	1.0	2.0	1.0	3.0	4.0	0.0	1.0	-2.0	0.0	6.0	1.0	2.0	3.0	6.0	16.0	0.0	0.0	3.0	4.0	12.0	2.0	1.0	6.0	13.0	27.0	1.0	-1.0	4.0	8.0	16.0	0.0	1.0	4.0	1.0	12.0	0.0	-1.0	-2.0	6.0	10.0	0.0	0.0	1.0	5.0	13.0	-1.0	0.0	2.0	3.0	9.0
ATM_1972_1984		0.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	-2.0	-1.0	0.0	0.0	-1.0	0.0	2.0	4.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	-2.0	-1.0	-3.0	0.0	-2.0	1.0	-2.0	-2.0	-2.0	-2.0	-1.0	-1.0	0.0	-1.0	-1.0	0.0	-1.0	-1.0	1.0	-1.0	0.0	-1.0	-2.0	-1.0	-1.0	-4.0	-2.0	-2.0	1.0	0.0	0.0	0.0	-3.0	1.0	0.0	1.0	0.0	1.0
CDN1B_151_163		-1.0	-1.0	0.0	1.0	-2.0	-1.0	-1.0	-2.0	0.0	-1.0	1.0	1.0	0.0	2.0	1.0	0.0	-1.0	0.0	0.0	2.0	-2.0	-4.0	-2.0	-6.0	-18.0	-1.0	1.0	-1.0	-3.0	2.0	0.0	-1.0	-4.0	-1.0	-5.0	0.0	1.0	0.0	0.0	3.0	-1.0	-1.0	-3.0	-2.0	-4.0	-3.0	0.0	1.0	0.0	-2.0	-2.0	-2.0	-1.0	-4.0	4.0	-1.0	0.0	-3.0	-2.0	2.0
FOXO3_25_37		2.0	3.0	7.0	16.0	27.0	2.0	5.0	9.0	19.0	43.0	1.0	0.0	-1.0	11.0	20.0	2.0	2.0	4.0	10.0	22.0	3.0	4.0	13.0	27.0	54.0	3.0	6.0	17.0	31.0	63.0	4.0	5.0	15.0	33.0	66.0	4.0	4.0	14.0	27.0	58.0	4.0	6.0	15.0	30.0	66.0	2.0	5.0	15.0	30.0	61.0	4.0	5.0	13.0	25.0	52.0	2.0	6.0	12.0	23.0	46.0
IKKB_686_698		1.0	-1.0	0.0	1.0	-1.0	-1.0	-1.0	1.0	0.0	2.0	0.0	1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	-2.0	0.0	-2.0	2.0	6.0	12.0	18.0	-1.0	-1.0	-1.0	-1.0	-2.0	0.0	-1.0	-1.0	0.0	-2.0	0.0	0.0	-1.0	0.0	-1.0	0.0	1.0	-1.0	-1.0	-2.0	-1.0	0.0	-1.0	-1.0	-1.0	1.0	0.0	0.0	-2.0	1.0	0.0	-1.0	0.0	0.0	1.0
LMNA_192_204		1.0	0.0	1.0	3.0	6.0	1.0	0.0	1.0	2.0	4.0	0.0	1.0	1.0	3.0	7.0	2.0	0.0	1.0	3.0	4.0	2.0	0.0	1.0	0.0	6.0	0.0	1.0	2.0	2.0	10.0	1.0	0.0	1.0	2.0	5.0	1.0	0.0	2.0	4.0	7.0	-1.0	1.0	3.0	6.0	7.0	-2.0	1.0	4.0	3.0	3.0	0.0	0.0	1.0	2.0	6.0	1.0	1.0	3.0	0.0	5.0
MYC_51_63		0.0	1.0	0.0	1.0	1.0	-1.0	0.0	0.0	0.0	4.0	1.0	-1.0	1.0	0.0	1.0	0.0	-1.0	1.0	2.0	3.0	1.0	0.0	-1.0	0.0	-3.0	-2.0	-2.0	0.0	-3.0	-3.0	1.0	0.0	2.0	1.0	1.0	1.0	-1.0	-2.0	2.0	2.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	2.0	1.0	-1.0	0.0	0.0	5.0
PP2AB_297_309		1.0	0.0	0.0	2.0	4.0	-1.0	0.0	3.0	4.0	5.0	-1.0	1.0	1.0	3.0	5.0	1.0	1.0	3.0	3.0	6.0	0.0	1.0	2.0	4.0	11.0	1.0	-1.0	1.0	1.0	6.0	2.0	0.0	2.0	5.0	8.0	0.0	0.0	1.0	3.0	7.0	1.0	1.0	2.0	5.0	12.0	1.0	-1.0	2.0	6.0	9.0	0.0	0.0	3.0	4.0	8.0	0.0	2.0	2.0	4.0	8.0
RBL2_655_667		2.0	1.0	9.0	13.0	24.0	0.0	-1.0	3.0	8.0	13.0	1.0	2.0	7.0	11.0	26.0	0.0	1.0	2.0	3.0	8.0	3.0	5.0	10.0	20.0	39.0	2.0	2.0	9.0	20.0	37.0	2.0	3.0	10.0	18.0	38.0	3.0	5.0	9.0	21.0	39.0	2.0	4.0	9.0	17.0	37.0	0.0	2.0	6.0	11.0	18.0	1.0	3.0	7.0	11.0	23.0	0.0	3.0	5.0	11.0	20.0
YAP1_121_133		0.0	2.0	0.0	1.0	6.0	1.0	0.0	1.0	3.0	3.0	0.0	1.0	0.0	4.0	4.0	1.0	2.0	1.0	3.0	4.0	-1.0	1.0	2.0	1.0	2.0	-1.0	-1.0	1.0	1.0	-3.0	0.0	1.0	1.0	2.0	5.0	-1.0	1.0	2.0	2.0	6.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	0.0	0.0	2.0	4.0	6.0	1.0	0.0	1.0	3.0	6.0
KAP2_92_104		14.0	27.0	67.0	143.0	272.0	8.0	18.0	44.0	92.0	180.0	6.0	17.0	40.0	78.0	152.0	5.0	9.0	23.0	50.0	91.0	43.0	89.0	213.0	440.0	864.0	47.0	93.0	231.0	457.0	908.0	38.0	77.0	192.0	389.0	764.0	31.0	61.0	157.0	308.0	609.0	41.0	84.0	206.0	414.0	831.0	25.0	52.0	131.0	272.0	535.0	26.0	51.0	127.0	253.0	526.0	19.0	36.0	89.0	172.0	355.0
RS6_228_240		22.0	45.0	109.0	218.0	427.0	14.0	26.0	61.0	127.0	254.0	9.0	18.0	45.0	97.0	192.0	6.0	12.0	26.0	55.0	109.0	63.0	127.0	311.0	626.0	1212.0	64.0	132.0	322.0	648.0	1267.0	61.0	120.0	303.0	600.0	1201.0	50.0	101.0	256.0	510.0	1010.0	58.0	117.0	296.0	571.0	1171.0	37.0	71.0	174.0	354.0	706.0	35.0	66.0	178.0	352.0	715.0	22.0	48.0	119.0	235.0	464.0
ACM1_444_456		0.0	1.0	3.0	7.0	13.0	0.0	0.0	3.0	8.0	13.0	1.0	1.0	3.0	4.0	11.0	1.0	1.0	2.0	4.0	12.0	0.0	3.0	6.0	7.0	22.0	2.0	2.0	7.0	8.0	21.0	2.0	3.0	6.0	11.0	23.0	1.0	1.0	4.0	11.0	22.0	1.0	2.0	4.0	10.0	20.0	0.0	0.0	6.0	9.0	18.0	2.0	3.0	5.0	10.0	19.0	-1.0	0.0	3.0	6.0	13.0
BAD_112_124		2.0	7.0	17.0	29.0	61.0	3.0	1.0	7.0	12.0	27.0	4.0	7.0	17.0	34.0	69.0	0.0	2.0	4.0	9.0	18.0	10.0	18.0	43.0	90.0	183.0	16.0	29.0	72.0	148.0	297.0	7.0	17.0	38.0	78.0	163.0	5.0	11.0	20.0	46.0	91.0	8.0	22.0	47.0	98.0	194.0	4.0	9.0	23.0	44.0	96.0	7.0	9.0	20.0	50.0	101.0	2.0	6.0	15.0	25.0	51.0
CENPA_1_14		2.0	2.0	9.0	18.0	38.0	2.0	4.0	7.0	13.0	28.0	0.0	3.0	6.0	12.0	28.0	0.0	1.0	3.0	9.0	17.0	3.0	4.0	16.0	29.0	58.0	4.0	10.0	21.0	44.0	84.0	2.0	8.0	17.0	33.0	64.0	3.0	6.0	14.0	27.0	61.0	3.0	7.0	17.0	29.0	57.0	1.0	4.0	12.0	21.0	40.0	3.0	5.0	9.0	23.0	43.0	2.0	3.0	6.0	15.0	32.0
FRAP_2443_2455		2.0	2.0	5.0	12.0	22.0	2.0	1.0	6.0	11.0	17.0	1.0	1.0	5.0	11.0	17.0	1.0	-1.0	2.0	2.0	10.0	2.0	4.0	10.0	19.0	35.0	4.0	7.0	12.0	26.0	56.0	1.0	4.0	12.0	24.0	42.0	1.0	3.0	10.0	21.0	37.0	2.0	6.0	11.0	25.0	48.0	1.0	4.0	7.0	16.0	32.0	1.0	2.0	7.0	18.0	32.0	1.0	3.0	7.0	13.0	24.0
K6PL_766_778		-1.0	2.0	2.0	4.0	6.0	-2.0	-1.0	4.0	2.0	7.0	0.0	-2.0	2.0	2.0	8.0	-1.0	1.0	0.0	1.0	5.0	0.0	1.0	3.0	2.0	7.0	0.0	0.0	1.0	2.0	7.0	1.0	3.0	4.0	3.0	6.0	1.0	0.0	3.0	3.0	8.0	0.0	2.0	2.0	4.0	7.0	1.0	0.0	1.0	2.0	7.0	1.0	2.0	1.0	3.0	5.0	1.0	1.0	0.0	3.0	4.0
LMNB1_16_28		2.0	2.0	3.0	5.0	9.0	0.0	1.0	2.0	4.0	5.0	0.0	1.0	2.0	5.0	7.0	1.0	-1.0	0.0	2.0	4.0	-1.0	1.0	3.0	6.0	12.0	1.0	1.0	4.0	9.0	21.0	1.0	2.0	5.0	10.0	19.0	1.0	4.0	3.0	8.0	13.0	0.0	1.0	4.0	6.0	13.0	0.0	-1.0	2.0	5.0	10.0	2.0	0.0	4.0	6.0	11.0	0.0	1.0	2.0	5.0	8.0
NEK2_172_184		0.0	1.0	3.0	5.0	9.0	0.0	1.0	2.0	3.0	11.0	-1.0	-1.0	1.0	4.0	9.0	1.0	-1.0	3.0	3.0	7.0	1.0	0.0	2.0	7.0	14.0	0.0	3.0	3.0	5.0	12.0	1.0	1.0	3.0	5.0	14.0	-1.0	2.0	5.0	6.0	16.0	1.0	3.0	3.0	6.0	13.0	1.0	1.0	2.0	6.0	9.0	0.0	0.0	3.0	7.0	12.0	0.0	0.0	2.0	5.0	10.0
PPR1A_28_40		3.0	4.0	15.0	29.0	60.0	2.0	4.0	12.0	21.0	44.0	3.0	4.0	9.0	16.0	33.0	1.0	2.0	8.0	12.0	26.0	5.0	13.0	34.0	66.0	140.0	7.0	11.0	30.0	64.0	130.0	7.0	11.0	32.0	62.0	129.0	6.0	11.0	27.0	57.0	113.0	6.0	12.0	33.0	58.0	129.0	6.0	10.0	26.0	50.0	103.0	6.0	9.0	21.0	44.0	87.0	3.0	7.0	16.0	34.0	68.0
RBL2_959_971		-1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	2.0	4.0	0.0	0.0	1.0	0.0	2.0	-1.0	0.0	1.0	1.0	4.0	-1.0	0.0	-1.0	0.0	1.0	0.0	-1.0	1.0	2.0	4.0	-1.0	0.0	1.0	0.0	4.0	-1.0	1.0	2.0	1.0	3.0	-1.0	-1.0	-1.0	0.0	3.0	0.0	-1.0	-1.0	1.0	2.0	-1.0	-1.0	-1.0	1.0	2.0	-1.0	1.0	2.0	0.0	1.0
ADRB2_338_350		12.0	24.0	59.0	121.0	238.0	6.0	10.0	32.0	61.0	127.0	7.0	15.0	37.0	73.0	141.0	3.0	8.0	17.0	33.0	72.0	38.0	74.0	191.0	372.0	744.0	42.0	83.0	211.0	410.0	831.0	34.0	67.0	171.0	331.0	664.0	26.0	54.0	135.0	278.0	547.0	36.0	76.0	184.0	362.0	716.0	23.0	47.0	121.0	236.0	475.0	26.0	54.0	130.0	255.0	518.0	10.0	28.0	69.0	139.0	276.0
KCC2G_278_289		3.0	2.0	9.0	18.0	38.0	2.0	4.0	7.0	12.0	28.0	5.0	2.0	6.0	16.0	33.0	1.0	2.0	5.0	8.0	18.0	2.0	4.0	8.0	16.0	31.0	2.0	6.0	9.0	21.0	38.0	3.0	3.0	11.0	21.0	38.0	0.0	3.0	7.0	12.0	23.0	5.0	5.0	12.0	29.0	60.0	3.0	5.0	14.0	27.0	53.0	1.0	3.0	8.0	15.0	30.0	2.0	5.0	11.0	19.0	44.0
RYR1_4317_4329		11.0	18.0	51.0	103.0	205.0	5.0	10.0	24.0	51.0	103.0	5.0	10.0	29.0	59.0	116.0	4.0	4.0	13.0	27.0	55.0	23.0	48.0	120.0	241.0	481.0	25.0	55.0	137.0	262.0	539.0	24.0	48.0	126.0	254.0	508.0	22.0	41.0	104.0	209.0	424.0	25.0	49.0	127.0	241.0	494.0	14.0	25.0	64.0	126.0	257.0	7.0	14.0	35.0	75.0	145.0	8.0	19.0	49.0	98.0	199.0
ACM4_456_468		2.0	1.0	3.0	6.0	13.0	1.0	2.0	4.0	6.0	14.0	1.0	2.0	4.0	6.0	13.0	1.0	0.0	4.0	6.0	9.0	0.0	3.0	6.0	11.0	23.0	1.0	3.0	5.0	13.0	26.0	1.0	3.0	7.0	12.0	26.0	2.0	1.0	5.0	11.0	23.0	0.0	2.0	5.0	11.0	23.0	0.0	2.0	7.0	11.0	21.0	-1.0	2.0	5.0	10.0	19.0	1.0	2.0	3.0	8.0	15.0
BAD_69_81		1.0	1.0	3.0	7.0	13.0	0.0	1.0	3.0	7.0	13.0	0.0	0.0	3.0	7.0	11.0	0.0	1.0	2.0	4.0	8.0	2.0	2.0	6.0	16.0	30.0	2.0	3.0	10.0	19.0	37.0	3.0	3.0	8.0	16.0	31.0	1.0	3.0	6.0	13.0	29.0	0.0	1.0	8.0	16.0	32.0	1.0	3.0	5.0	13.0	27.0	2.0	3.0	6.0	14.0	27.0	2.0	3.0	7.0	12.0	24.0
COF1_17_29		0.0	2.0	1.0	0.0	2.0	1.0	0.0	2.0	3.0	6.0	0.0	2.0	3.0	7.0	8.0	-1.0	1.0	1.0	1.0	1.0	1.0	-1.0	2.0	4.0	6.0	2.0	0.0	0.0	2.0	7.0	0.0	-1.0	1.0	3.0	6.0	1.0	0.0	1.0	3.0	5.0	0.0	0.0	2.0	4.0	8.0	0.0	0.0	2.0	2.0	5.0	0.0	-1.0	1.0	2.0	6.0	2.0	1.0	1.0	1.0	3.0
FRAP_2475_2487		1.0	-1.0	1.0	3.0	3.0	0.0	1.0	0.0	1.0	4.0	0.0	1.0	2.0	1.0	4.0	-1.0	-1.0	-1.0	2.0	5.0	0.0	2.0	0.0	1.0	-1.0	1.0	2.0	3.0	4.0	9.0	-1.0	1.0	0.0	3.0	-1.0	-2.0	0.0	-1.0	0.0	0.0	2.0	0.0	-2.0	0.0	2.0	-1.0	1.0	0.0	2.0	3.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0
KAPCG_192_206		-1.0	1.0	3.0	5.0	8.0	-1.0	1.0	3.0	6.0	10.0	0.0	1.0	4.0	5.0	10.0	0.0	0.0	2.0	3.0	9.0	1.0	2.0	3.0	6.0	16.0	0.0	3.0	4.0	7.0	13.0	0.0	0.0	4.0	5.0	11.0	2.0	1.0	3.0	5.0	14.0	2.0	1.0	3.0	7.0	14.0	0.0	1.0	1.0	7.0	12.0	1.0	-1.0	2.0	7.0	10.0	1.0	1.0	3.0	6.0	9.0
